filename,C_0,tau_0,R_th_0,h_0,T_amp_0,C_1,tau_1,R_th_1,h_1,T_amp_1
13847056516669-r9352821-n386398_cleaned.parquet,274.7193593623529,45.337728218339244,0.16503288418978546,6.059398433890389,27.030656741505812,239.6431829003797,41.07921737794676,0.1714182597675791,5.833684237349452,29.235937175834817
13860833129182-r3226521-n386398_cleaned.parquet,,,,,,153.3505410485413,24.779453264322232,0.161586996008567,6.188616811386122,20.634643378747278
13866514653504-r3041626-n911952_cleaned.parquet,,,,,,157.16256834009988,29.19359258908945,0.18575410733880668,5.383461040654393,18.910372516687097
13971852771487-r6272977-n386398_cleaned.parquet,129.903724587573,8.09058322457342,0.062281379923939374,16.056163193899074,5.14702680760498,156.42236261438492,9.486813303659103,0.060648702302535586,16.48839896048678,4.974180014397911
13980215893700-r629115-n43543_cleaned.parquet,221.18410786688543,55.594394886801794,0.25134895731414847,3.9785325178419186,38.07951082251432,,,,,
13989743235065-r9720335-n851693_cleaned.parquet,155.18705708918137,32.78201229516607,0.21124192255496685,4.733908818406024,34.94879918554916,136.4575004752503,28.870323679715312,0.21157007551191082,4.7265663519778,32.8675568537953
13157948250657-r9175025-n911952_cleaned.parquet,,,,,,113.35261664181458,39.51543377799388,0.3486062779023405,2.8685656667380575,20.20647639319961
14125108262109-r2825489-n139058_cleaned.parquet,,,,,,139.666494105388,26.992562529595187,0.19326440963877448,5.1742584258999065,21.01129334210991
13570915759394-r2652301-n43543_cleaned.parquet,147.1416063206092,30.8903706453146,0.2099363423966371,4.763348682672003,33.57047271890755,133.80528520074034,30.143370755654562,0.22527787830228233,4.438962260902422,37.71668613556125
14186682143931-r3226521-n830961_cleaned.parquet,187.46129903362817,35.1926759595297,0.1877330208472341,5.326713411881547,29.019916716071986,168.25863512538308,30.027892684555955,0.17846271403651734,5.603411364658381,28.256515696007312
14161959300679-r9352821-n386398_cleaned.parquet,214.0769848060987,26.887159908933825,0.12559575207623092,7.962052724466711,20.605448220475086,187.40660165067686,21.86227298587796,0.11665689892092977,8.572146261815185,18.506392030755205
14307000132792-r8607415-n911952_cleaned.parquet,112.71153978385877,23.862471807572614,0.21171276564345118,4.723380741641795,10.580616156410278,70.96615853121415,14.923230505689201,0.21028657622950359,4.755415290553854,8.849794333371358
14363527190610-r9555635-n139058_cleaned.parquet,,,,,,121.10266886087436,11.470235671961166,0.0947149701972171,10.557993080901396,6.759975617218095
144329733411-r9352821-n43543_cleaned.parquet,,,,,,388.9791441276867,23.48402366084766,0.060373477641101424,16.563564649110322,6.410267696107379
14202369235503-r7217787-n851693_cleaned.parquet,,,,,,145.420511289014,38.14089271425963,0.26228000696859766,3.8127191300545005,25.481356141503742
14497689735939-r3226521-n976057_cleaned.parquet,,,,,,178.75893759738912,8.363838494172187,0.0467883654187389,21.37283470047228,3.0000000000000004
14442148887626-r3405251-n208530_cleaned.parquet,46.6572197974099,5.604503554538998,0.12012082114781565,8.324951415120964,6.837767731362255,,,,,
14513764185295-r3041626-n976057_cleaned.parquet,195.29937365682446,50.65758203352171,0.25938425241719437,3.8552841611664115,39.07178380192676,187.44723214160663,49.366787707264194,0.2633636524969873,3.7970311792035893,38.06446721335595
14570382631842-r1457839-n976057_cleaned.parquet,,,,,,140.76568369598138,25.43527571753728,0.18069230404528921,5.534270013787401,25.240573957198446
14626766980775-r629115-n830961_cleaned.parquet,,,,,,324.2063863694943,73.38822548260599,0.22636267688745118,4.41768940776931,6.333631565482388
14529616969905-r1485405-n386398_cleaned.parquet,,,,,,293.2031788299841,36.84639666629088,0.1256684760831209,7.957445106110542,18.129443490720252
14655254381796-r3041626-n911952_cleaned.parquet,,,,,,126.67642489086262,21.948606082100582,0.17326512096477528,5.771502045142135,21.825709857002625
14740767097798-r6272977-n976057_cleaned.parquet,,,,,,178.3158765551518,16.799426916476467,0.09421161615567376,10.614402350848286,9.761101153780631
14873323744391-r4822976-n208530_cleaned.parquet,60.185833297949664,7.373267447576655,0.12250835526485662,8.162708558433035,19.084323481827607,,,,,
1486744619007-r9555635-n139058_cleaned.parquet,349.06579998064825,46.60080991363891,0.13350150577977676,7.490552216314276,8.021748629430746,200.42791687821156,29.433286195567412,0.14685222824249736,6.809566405411964,8.435171642715313
14988645739542-r9189566-n911952_cleaned.parquet,,,,,,142.60922154439547,7.148595771114258,0.05012716354312922,19.94926361910751,3.259563521064978
14081814442047-r1457839-n911952_cleaned.parquet,138.49997449093286,24.89261836860696,0.1797301296271112,5.563897394803615,25.229477301469828,119.14643825712362,19.88394793091252,0.16688663313629254,5.992091644531666,23.23108400643037
14817542589399-r8015356-n911952_cleaned.parquet,70.91506743051796,20.608545837137644,0.2906088449726109,3.4410514934404257,9.342700607251079,65.32317783230786,19.52733397852872,0.2989342317156958,3.3452174221086177,8.308155329014365
15183301652728-r1682297-n976057_cleaned.parquet,,,,,,158.54962460893915,28.090510989707397,0.17717172815131113,5.644241383399294,14.815737719628027
15117739476128-r5130449-n208530_cleaned.parquet,,,,,,352.0310430156586,88.8345401118579,0.25234859787040564,3.962772166911555,25.33862688920688
15273230393997-r9192091-n386398_cleaned.parquet,382.9526900491666,101.94105329603038,0.2661975119771122,3.7566091154374894,30.814005057464428,,,,,
15405655414069-r3879907-n139058_cleaned.parquet,67.33332131901943,23.435290911126998,0.3480489370202403,2.8731591843415005,6.6629816848304575,91.98283049639639,20.44538882481974,0.22227396911449393,4.498952369383827,7.604320281381491
15405655414069-r4858666-n911952_cleaned.parquet,92.31085827310758,18.82078878360752,0.20388488565370078,4.904728453969382,9.331759004579062,111.73050540552174,21.40736291008617,0.19159819274412962,5.219255910912755,7.9355426468670665
15126541574528-r6760045-n911952_cleaned.parquet,209.2344582652752,55.16951517660787,0.2636731809569431,3.7925738081162548,36.0562371501344,211.94982668070628,54.67888410242496,0.25798031995938575,3.876264670721517,34.079202349347284
15405655414069-r5130449-n139058_cleaned.parquet,82.36392629908664,22.302308788460095,0.27077763033629704,3.6930672550684207,10.716690326102185,94.92244343066207,30.949967112508016,0.3260553141482922,3.0669642744886936,11.507151595951484
