timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 19:28:20.075, 16 %, 2 %, 12984 MiB, 82, 131.12 W
2026/04/03 19:28:25.249, 100 %, 100 %, 12984 MiB, 84, 198.13 W
2026/04/03 19:28:30.250, 100 %, 100 %, 12984 MiB, 85, 191.59 W
2026/04/03 19:28:35.417, 100 %, 100 %, 12984 MiB, 85, 187.95 W
2026/04/03 19:28:40.608, 100 %, 100 %, 12984 MiB, 86, 183.85 W
2026/04/03 19:28:45.795, 11 %, 1 %, 12984 MiB, 82, 104.06 W
2026/04/03 19:28:50.796, 100 %, 100 %, 12984 MiB, 86, 198.11 W
2026/04/03 19:28:55.796, 100 %, 100 %, 12984 MiB, 86, 188.47 W
2026/04/03 19:29:00.797, 100 %, 100 %, 12984 MiB, 86, 181.05 W
2026/04/03 19:29:05.798, 0 %, 0 %, 12984 MiB, 85, 140.09 W
2026/04/03 19:29:10.798, 100 %, 100 %, 12984 MiB, 86, 160.91 W
2026/04/03 19:29:15.799, 100 %, 100 %, 12984 MiB, 86, 185.25 W
2026/04/03 19:29:20.800, 100 %, 100 %, 12984 MiB, 86, 180.24 W
2026/04/03 19:29:25.800, 100 %, 100 %, 12984 MiB, 86, 175.62 W
2026/04/03 19:29:30.801, 27 %, 1 %, 12984 MiB, 85, 119.28 W
2026/04/03 19:29:35.801, 100 %, 100 %, 12984 MiB, 86, 197.58 W
2026/04/03 19:29:40.802, 100 %, 100 %, 12984 MiB, 86, 185.00 W
2026/04/03 19:29:45.802, 100 %, 100 %, 12984 MiB, 86, 179.45 W
2026/04/03 19:29:50.803, 100 %, 100 %, 12984 MiB, 86, 174.34 W
2026/04/03 19:29:55.804, 16 %, 2 %, 12984 MiB, 85, 121.32 W
2026/04/03 19:30:00.804, 100 %, 100 %, 12984 MiB, 86, 195.91 W
2026/04/03 19:30:05.805, 100 %, 100 %, 12984 MiB, 86, 183.04 W
2026/04/03 19:30:10.806, 100 %, 100 %, 12984 MiB, 86, 178.29 W
2026/04/03 19:30:15.806, 100 %, 100 %, 12984 MiB, 86, 174.92 W
2026/04/03 19:30:20.807, 17 %, 2 %, 12984 MiB, 85, 127.51 W
2026/04/03 19:30:25.807, 100 %, 100 %, 12984 MiB, 87, 190.69 W
2026/04/03 19:30:30.808, 100 %, 100 %, 12984 MiB, 86, 181.21 W
2026/04/03 19:30:35.808, 100 %, 100 %, 12984 MiB, 86, 177.29 W
2026/04/03 19:30:40.809, 100 %, 100 %, 12984 MiB, 86, 173.10 W
2026/04/03 19:30:45.810, 16 %, 2 %, 12984 MiB, 85, 125.90 W
2026/04/03 19:30:50.810, 100 %, 100 %, 12984 MiB, 86, 189.06 W
2026/04/03 19:30:55.811, 100 %, 100 %, 12984 MiB, 86, 183.22 W
2026/04/03 19:31:00.811, 100 %, 100 %, 12984 MiB, 86, 178.75 W
2026/04/03 19:31:05.812, 100 %, 100 %, 12984 MiB, 86, 173.75 W
2026/04/03 19:31:10.813, 0 %, 0 %, 12984 MiB, 84, 122.79 W
2026/04/03 19:31:15.813, 100 %, 100 %, 12984 MiB, 86, 187.07 W
2026/04/03 19:31:20.814, 100 %, 100 %, 12984 MiB, 86, 181.78 W
2026/04/03 19:31:25.814, 100 %, 100 %, 12984 MiB, 86, 176.41 W
2026/04/03 19:31:30.815, 31 %, 1 %, 12984 MiB, 85, 129.36 W
