epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
60,3.523218,3.601525,2.458990,2.624079,0.010000,932.5857,3.7047,4.0915,8.5553,8.9519,70.6758,66.8866,0.7074,0.5653,0.0337,0.0093,-6.4373,-6.8586,342.40
61,3.519617,3.597340,2.455799,2.620046,0.010000,934.9421,3.7026,4.0902,8.6187,9.0106,70.6639,66.8736,0.7146,0.5710,0.0335,0.0092,-6.4697,-6.8888,343.88
62,3.516119,3.593371,2.452829,2.616243,0.010000,937.1691,3.7007,4.0889,8.6815,9.0685,70.6510,66.8602,0.7218,0.5766,0.0334,0.0092,-6.5018,-6.9189,340.51
63,3.512388,3.589522,2.449588,2.612517,0.010000,939.2746,3.6986,4.0875,8.7430,9.1251,70.6386,66.8470,0.7289,0.5823,0.0333,0.0091,-6.5336,-6.9486,340.50
64,3.509377,3.585846,2.446789,2.608957,0.010000,941.2670,3.6966,4.0863,8.8037,9.1811,70.6264,66.8333,0.7359,0.5879,0.0331,0.0091,-6.5651,-6.9782,340.56
65,3.506425,3.582337,2.443983,2.605569,0.010000,943.1570,3.6947,4.0851,8.8634,9.2360,70.6140,66.8195,0.7430,0.5935,0.0330,0.0090,-6.5964,-7.0074,343.90
66,3.503349,3.578930,2.441285,2.602255,0.010000,944.9509,3.6927,4.0838,8.9221,9.2896,70.6021,66.8064,0.7499,0.5991,0.0329,0.0089,-6.6273,-7.0364,341.05
67,3.500361,3.575660,2.438755,2.599070,0.010000,946.6556,3.6908,4.0826,8.9799,9.3425,70.5901,66.7926,0.7569,0.6046,0.0327,0.0089,-6.6580,-7.0652,341.26
68,3.497060,3.572487,2.435846,2.595965,0.010000,948.2765,3.6888,4.0814,9.0369,9.3946,70.5784,66.7789,0.7638,0.6101,0.0326,0.0088,-6.6884,-7.0936,341.66
69,3.494732,3.569413,2.433822,2.592943,0.010000,949.8192,3.6868,4.0800,9.0930,9.4454,70.5668,66.7659,0.7707,0.6157,0.0325,0.0088,-6.7184,-7.1218,345.03
70,3.491908,3.566461,2.431409,2.590045,0.010000,951.2896,3.6850,4.0788,9.1483,9.4954,70.5555,66.7529,0.7775,0.6212,0.0323,0.0087,-6.7483,-7.1497,343.83
71,3.489531,3.563611,2.429285,2.587251,0.010000,952.6918,3.6830,4.0775,9.2029,9.5447,70.5438,66.7393,0.7843,0.6267,0.0322,0.0087,-6.7778,-7.1774,340.90
72,3.486887,3.560851,2.426924,2.584545,0.010000,954.0309,3.6811,4.0763,9.2568,9.5932,70.5322,66.7258,0.7910,0.6321,0.0321,0.0086,-6.8071,-7.2048,340.67
73,3.484996,3.558190,2.424923,2.581946,0.010000,955.3101,3.6792,4.0750,9.3099,9.6408,70.5205,66.7123,0.7977,0.6376,0.0319,0.0085,-6.8360,-7.2319,344.63
