filename,k01_mean,k10_mean,k01_dt_mean,k10_dt_mean,k01_power_mean,k10_power_mean,k01_event_count,k10_event_count,is_valid_k01,is_valid_k10
18915034319106-r8015356-n386398_cleaned.parquet,,,,,,,0,0,False,False
1791535818804-r8333645-n851693_cleaned.parquet,,,,,,,0,0,False,False
19035259724211-r9189566-n43543_cleaned.parquet,,,,,,,0,0,False,False
18886086579024-r1457839-n911952_cleaned.parquet,,,,,,,0,0,False,False
18886086579024-r6272977-n911952_cleaned.parquet,,,,,,,0,0,False,False
18886086579024-r8333645-n386398_cleaned.parquet,,,,,,,0,0,False,False
19206220906107-r2652301-n830961_cleaned.parquet,,,,,,,0,0,False,False
19236199231945-r3226521-n911952_cleaned.parquet,,,,,,,0,0,False,False
19216312164781-r9352821-n830961_cleaned.parquet,,,,,,,0,0,False,False
19298201048765-r7217787-n43543_cleaned.parquet,,,,,,,0,0,False,False
19152327471753-r6760045-n911952_cleaned.parquet,,,,,,,0,0,False,False
19335571136746-r1682297-n976057_cleaned.parquet,,,,,,,0,0,False,False
17994250792206-r8642123-n386398_cleaned.parquet,,,,,,,0,0,False,False
19387596126248-r2652301-n911952_cleaned.parquet,,,,,,,0,0,False,False
19353224369735-r9535192-n976057_cleaned.parquet,,,,,,,0,0,False,False
19353224369735-r9175025-n976057_cleaned.parquet,,,,,,,0,0,False,False
18943694066457-r9720335-n911952_cleaned.parquet,,,,,,,0,0,False,False
19368934384526-r7343737-n911952_cleaned.parquet,,,,,,,0,0,False,False
19550388665656-r8937440-n830961_cleaned.parquet,,,,,,,0,0,False,False
19557123165393-r1485405-n851693_cleaned.parquet,,,,,,,0,0,False,False
19557123165393-r4858666-n911952_cleaned.parquet,,,,,,,0,0,False,False
19557123165393-r7217787-n911952_cleaned.parquet,,,,,,,0,0,False,False
19557123165393-r9352821-n911952_cleaned.parquet,,,,,,,0,0,False,False
19601544009335-r9535192-n851693_cleaned.parquet,,,,,,,0,0,False,False
194766412677-r8333645-n685852_cleaned.parquet,,,,,,,0,0,False,False
1962766522358-r2652301-n851693_cleaned.parquet,,,,,,,0,0,False,False
1962766522358-r5189505-n851693_cleaned.parquet,,,,,,,0,0,False,False
1963031364920-r3741709-n830961_cleaned.parquet,,,,,,,0,0,False,False
1962766522358-r9189566-n851693_cleaned.parquet,,,,,,,0,0,False,False
19649411709954-r8937440-n976057_cleaned.parquet,,,,,,,0,0,False,False
19700524312857-r1682297-n911952_cleaned.parquet,,,,,,,0,0,False,False
19684696098285-r6272977-n976057_cleaned.parquet,,,,,,,0,0,False,False
19775431124258-r1682297-n851693_cleaned.parquet,0.03846542971323712,,7.0,,181.98158845970434,,1,0,True,False
19461917655169-r8333645-n685852_cleaned.parquet,,,,,,,0,0,False,False
19732348877087-r4822976-n208530_cleaned.parquet,,,,,,,0,0,False,False
19997658047499-r7217787-n851693_cleaned.parquet,,,,,,,0,0,False,False
20169988895085-r6760045-n976057_cleaned.parquet,,,,,,,0,0,False,False
19176748360009-r9192091-n830961_cleaned.parquet,,,,,,,0,0,False,False
20250297044267-r8939293-n136082_cleaned.parquet,,,,,,,0,0,False,False
20269652723374-r8939293-n136082_cleaned.parquet,,,,,,,0,0,False,False
20288110357135-r9352821-n976057_cleaned.parquet,,,,,,,0,0,False,False
20125667365418-r9555635-n208530_cleaned.parquet,,,,,,,0,0,False,False
20221994555051-r3475376-n136082_cleaned.parquet,,,,,,,0,0,False,False
20340029434441-r9720335-n851693_cleaned.parquet,,,,,,,0,0,False,False
20312807704468-r3226521-n851693_cleaned.parquet,,,,,,,0,0,False,False
20478905974762-r9040233-n911952_cleaned.parquet,,,,,,,0,0,False,False
20397201235202-r4822976-n208530_cleaned.parquet,0.02693461547341372,,5.0,,185.63472736172295,,1,0,True,False
2029301392762-r9040233-n911952_cleaned.parquet,,,,,,,0,0,False,False
20544571888815-r4229531-n851693_cleaned.parquet,,,,,,,0,0,False,False
20528991358901-r4229531-n386398_cleaned.parquet,,,,,,,0,0,False,False
19517937811373-r3226521-n386398_cleaned.parquet,,,,,,,0,0,False,False
20859937772151-r6272977-n386398_cleaned.parquet,0.0356183949040859,,7.0,,196.5276655180497,,1,0,True,False
20902328704371-r9175025-n976057_cleaned.parquet,,,,,,,0,0,False,False
2090047989298-r4774426-n172998_cleaned.parquet,,,,,,,0,0,False,False
18944909218769-r9535192-n976057_cleaned.parquet,,,,,,,0,0,False,False
210784252454-r4858666-n911952_cleaned.parquet,,,,,,,0,0,False,False
21082625006727-r9555635-n208530_cleaned.parquet,,,,,,,0,0,False,False
21045770204504-r9189566-n830961_cleaned.parquet,,,,,,,0,0,False,False
21231778879658-r2825489-n139058_cleaned.parquet,,,,,,,0,0,False,False
20096244058217-r7217787-n851693_cleaned.parquet,,,,,,,0,0,False,False
20882866081641-r8642123-n976057_cleaned.parquet,,,,,,,0,0,False,False
21243308854360-r4179716-n976057_cleaned.parquet,,,,,,,0,0,False,False
21231778879658-r4822976-n139058_cleaned.parquet,,,,,,,0,0,False,False
21297388930890-r1682297-n911952_cleaned.parquet,,,,,,,0,0,False,False
21243308854360-r9535192-n911952_cleaned.parquet,,,,,,,0,0,False,False
21303202099230-r6272977-n386398_cleaned.parquet,,,,,,,0,0,False,False
21304642515490-r8937440-n976057_cleaned.parquet,,,,,,,0,0,False,False
21379517358897-r9102715-n830961_cleaned.parquet,,,,,,,0,0,False,False
21380665990505-r4179716-n386398_cleaned.parquet,,,,,,,0,0,False,False
21204656669462-r7343737-n976057_cleaned.parquet,,,,,,,0,0,False,False
213827482795-r4229531-n976057_cleaned.parquet,,,,,,,0,0,False,False
20589215728840-r3226521-n685852_cleaned.parquet,,,,,,,0,0,False,False
21335674156302-r4179716-n976057_cleaned.parquet,,,,,,,0,0,False,False
19415011951341-r8333645-n911952_cleaned.parquet,,,,,,,0,0,False,False
2141692100872-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
21437812348928-r8937440-n830961_cleaned.parquet,,,,,,,0,0,False,False
2141692100872-r3117156-n136082_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r1485405-n43543_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r3741709-n43543_cleaned.parquet,,,,,,,0,0,False,False
21450900654886-r8333645-n976057_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r4858666-n43543_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r629115-n43543_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r7217787-n43543_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r7343737-n43543_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r8333645-n43543_cleaned.parquet,,,,,,,0,0,False,False
21466313590413-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
21603299618571-r4858666-n685852_cleaned.parquet,,,,,,,0,0,False,False
21408163523363-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
21627553153785-r4822976-n208530_cleaned.parquet,,,,,,,0,0,False,False
21961977325718-r5573787-n851693_cleaned.parquet,,,,,,,0,0,False,False
