filename,C_0,tau_0,R_th_0,T_amp_0,C_1,tau_1,R_th_1,T_amp_1
2326894059375-r5715171-n136082_cleaned.parquet,50.03720293020093,6.041816877959922,0.12074649509062119,8.26675377819292,56.601329699658606,6.874347162824185,0.1214520436057114,8.285096857614255
2326894059375-r6760045-n685852_cleaned.parquet,54.39800104448153,6.500373813524932,0.11949655665121851,7.888763615586307,54.67057228713752,6.587718289409744,0.12049843295603571,7.683792946588697
2326894059375-r7343737-n976057_cleaned.parquet,41.243359554696966,5.491068430597895,0.13313824309864083,7.799794100647068,,,,
2326894059375-r8333645-n685852_cleaned.parquet,56.740883770642945,6.891709698168121,0.12145932950261534,7.867875136736617,,,,
2326894059375-r8333645-n976057_cleaned.parquet,61.833927050468,7.133624425178953,0.11536748134008352,6.758441376654928,52.86280754398641,6.480573915182811,0.12259231426159904,7.169026938694873
2326894059375-r8937440-n43543_cleaned.parquet,58.12707221193034,7.0150172126373525,0.12068416566829164,8.261642622054756,,,,
2326894059375-r8642123-n976057_cleaned.parquet,60.08029968329842,7.052789894226713,0.11738939271947908,6.67778804104931,62.27285561736323,7.249253096099558,0.11641112366265544,6.734224276406996
2326894059375-r8937440-n851693_cleaned.parquet,52.43389652484627,6.521651826703221,0.12437854630187321,8.163110277303913,65.06301214096055,7.441382145117731,0.11437192807790393,7.127005370514539
2326894059375-r8939293-n136082_cleaned.parquet,,,,,47.47034729155865,5.923339141480003,0.12477977262520075,8.360667642092338
2326894059375-r9040233-n851693_cleaned.parquet,54.096417753947094,6.442222179888595,0.1190877778486274,8.022105178652806,62.16630876608845,7.251314118669765,0.11664379408393212,7.318865650060598
2326894059375-r9102715-n976057_cleaned.parquet,,,,,55.8777839415853,6.506073493654467,0.11643399280930547,6.741551597875007
2326894059375-r9175025-n911952_cleaned.parquet,51.843013854384495,6.607133564211086,0.12744501279900616,8.639443969074248,,,,
2326894059375-r9555635-n208530_cleaned.parquet,50.29438464970382,6.240896714648975,0.12408734609472405,8.272729115712044,53.94807882835643,6.58496988061567,0.12206124895692205,8.264854414649175
23462842658913-r7343737-n911952_cleaned.parquet,,,,,194.47595396489726,30.772754807741276,0.15823424017395862,19.56473488727426
23497214045570-r9175025-n851693_cleaned.parquet,,,,,322.8566815012163,36.20744922330559,0.11214712687669492,16.96299898570992
2361668131018-r1682297-n976057_cleaned.parquet,238.26635141196354,28.5711321746979,0.11991257685101449,18.76069081393185,,,,
23666564800042-r8333645-n851693_cleaned.parquet,,,,,33.88735280433913,14.477365205717765,0.4272203051477069,3.0000000000000004
24072105020396-r9040233-n851693_cleaned.parquet,,,,,173.18121034821147,29.593311370983805,0.17088061292262144,13.436202455437519
24269420549306-r1457839-n386398_cleaned.parquet,190.88890305798628,33.80894562031722,0.17711320605183153,23.408895730270093,168.1833984228227,27.856252389199025,0.16563021469673725,21.885411827072094
23808730123575-r3041626-n976057_cleaned.parquet,,,,,158.17641166196174,28.624061982988863,0.18096289884335753,26.43579690392448
24269420549306-r2582019-n386398_cleaned.parquet,197.3496838336848,35.56579333102124,0.18021712850066732,24.052450377051755,176.87802681998264,29.78409467818994,0.16838775971027006,21.932634457212377
24269420549306-r4179716-n386398_cleaned.parquet,217.46364859941673,37.85952757908951,0.17409589061401895,22.517634815572865,168.3007192541879,28.80361416985208,0.17114373781343983,22.19136140881077
24269420549306-r4229531-n386398_cleaned.parquet,188.2315642850872,33.51626857359007,0.17805870498333537,23.453196638744206,199.36644452675705,31.74586535245986,0.1592337438118842,20.641476261583424
24269420549306-r6760045-n386398_cleaned.parquet,192.49209856019797,34.505238181208796,0.17925534834572956,23.757029515886238,173.94307036421162,28.175879534303053,0.16198334015437832,21.13643006122723
24269420549306-r6272977-n386398_cleaned.parquet,197.87491092760087,35.12019152933515,0.1774868343070792,23.264922230612164,181.64644491623451,29.42516517661791,0.16199141794482794,21.238334546614883
24269420549306-r8607415-n386398_cleaned.parquet,206.10491014381324,36.75273589392816,0.17832052554343955,23.231150469611194,182.49787745635197,29.496590826953927,0.16162703499939954,21.328074497436916
24269420549306-r9040233-n386398_cleaned.parquet,210.08956366733466,36.98275625571816,0.17603328604308174,23.073144474185092,183.86895594054488,29.71675501754836,0.16161920790564258,21.013677732914026
