timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/24 10:49:45.319, 88 %, 35 %, 1597 MiB, 84
2026/03/24 10:49:50.320, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:50.320, 75 %, 29 %, 1597 MiB, 85
2026/03/24 10:49:55.321, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:49:55.321, 81 %, 33 %, 1597 MiB, 84
2026/03/24 10:50:00.322, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:00.322, 73 %, 24 %, 1597 MiB, 84
2026/03/24 10:50:05.322, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:05.323, 86 %, 40 %, 1597 MiB, 84
2026/03/24 10:50:10.323, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:10.323, 74 %, 23 %, 1597 MiB, 84
2026/03/24 10:50:15.324, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:15.324, 88 %, 23 %, 1597 MiB, 84
2026/03/24 10:50:20.325, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:20.325, 83 %, 40 %, 1597 MiB, 84
2026/03/24 10:50:25.326, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:25.326, 76 %, 32 %, 1597 MiB, 84
2026/03/24 10:50:30.327, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:30.327, 94 %, 44 %, 1597 MiB, 84
2026/03/24 10:50:35.328, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:35.328, 84 %, 41 %, 1597 MiB, 85
2026/03/24 10:50:40.329, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:40.329, 86 %, 35 %, 1597 MiB, 85
2026/03/24 10:50:45.329, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:45.330, 93 %, 34 %, 1597 MiB, 84
2026/03/24 10:50:50.330, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:50.330, 78 %, 23 %, 1597 MiB, 84
2026/03/24 10:50:55.331, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:50:55.331, 90 %, 43 %, 1597 MiB, 84
2026/03/24 10:51:00.332, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:00.332, 86 %, 23 %, 1597 MiB, 84
2026/03/24 10:51:05.332, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:05.333, 78 %, 37 %, 1597 MiB, 85
2026/03/24 10:51:10.333, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:10.333, 84 %, 23 %, 1597 MiB, 84
2026/03/24 10:51:15.334, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:15.334, 88 %, 23 %, 1597 MiB, 84
2026/03/24 10:51:20.335, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:20.335, 78 %, 25 %, 1597 MiB, 84
2026/03/24 10:51:25.336, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:25.336, 93 %, 44 %, 1597 MiB, 84
2026/03/24 10:51:30.336, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:51:30.336, 74 %, 27 %, 1597 MiB, 84
