timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/23 19:38:00.639, 89 %, 40 %, 9025 MiB, 83
2026/03/23 19:38:00.640, 88 %, 40 %, 1595 MiB, 86
2026/03/23 19:38:05.641, 74 %, 31 %, 9025 MiB, 83
2026/03/23 19:38:05.641, 88 %, 41 %, 1595 MiB, 86
2026/03/23 19:38:10.642, 90 %, 42 %, 9025 MiB, 83
2026/03/23 19:38:10.642, 84 %, 23 %, 1595 MiB, 86
2026/03/23 19:38:15.643, 79 %, 29 %, 9025 MiB, 83
2026/03/23 19:38:15.643, 81 %, 28 %, 1595 MiB, 86
2026/03/23 19:38:20.644, 79 %, 34 %, 9025 MiB, 83
2026/03/23 19:38:20.644, 82 %, 37 %, 1595 MiB, 87
2026/03/23 19:38:25.644, 79 %, 25 %, 9025 MiB, 83
2026/03/23 19:38:25.645, 82 %, 23 %, 1595 MiB, 85
2026/03/23 19:38:30.645, 79 %, 23 %, 9025 MiB, 83
2026/03/23 19:38:30.645, 82 %, 26 %, 1595 MiB, 86
2026/03/23 19:38:35.646, 89 %, 29 %, 9025 MiB, 83
2026/03/23 19:38:35.646, 90 %, 23 %, 1595 MiB, 86
2026/03/23 19:38:40.647, 78 %, 30 %, 9025 MiB, 83
2026/03/23 19:38:40.647, 69 %, 23 %, 1595 MiB, 86
2026/03/23 19:38:45.648, 90 %, 24 %, 9025 MiB, 83
2026/03/23 19:38:45.648, 92 %, 38 %, 1595 MiB, 86
2026/03/23 19:38:50.649, 89 %, 31 %, 9025 MiB, 83
2026/03/23 19:38:50.649, 76 %, 23 %, 1595 MiB, 86
2026/03/23 19:38:55.650, 67 %, 24 %, 9025 MiB, 83
2026/03/23 19:38:55.651, 93 %, 27 %, 1595 MiB, 86
2026/03/23 19:39:00.651, 82 %, 23 %, 9025 MiB, 84
2026/03/23 19:39:00.651, 84 %, 35 %, 1595 MiB, 86
2026/03/23 19:39:05.652, 86 %, 39 %, 9025 MiB, 84
2026/03/23 19:39:05.652, 92 %, 29 %, 1595 MiB, 87
2026/03/23 19:39:10.653, 87 %, 42 %, 9025 MiB, 84
2026/03/23 19:39:10.653, 92 %, 34 %, 1595 MiB, 86
2026/03/23 19:39:15.654, 89 %, 42 %, 9025 MiB, 83
2026/03/23 19:39:15.654, 89 %, 42 %, 1595 MiB, 85
2026/03/23 19:39:20.654, 89 %, 35 %, 9025 MiB, 83
2026/03/23 19:39:20.655, 85 %, 42 %, 1595 MiB, 86
2026/03/23 19:39:25.655, 78 %, 23 %, 9025 MiB, 83
2026/03/23 19:39:25.656, 92 %, 27 %, 1595 MiB, 86
2026/03/23 19:39:30.656, 90 %, 28 %, 9025 MiB, 83
2026/03/23 19:39:30.656, 79 %, 29 %, 1595 MiB, 86
2026/03/23 19:39:35.657, 84 %, 40 %, 9025 MiB, 84
2026/03/23 19:39:35.657, 84 %, 31 %, 1595 MiB, 85
2026/03/23 19:39:40.658, 75 %, 23 %, 9025 MiB, 83
2026/03/23 19:39:40.658, 93 %, 28 %, 1595 MiB, 86
2026/03/23 19:39:45.659, 90 %, 25 %, 9025 MiB, 83
2026/03/23 19:39:45.659, 84 %, 29 %, 1595 MiB, 86
2026/03/23 19:39:50.660, 90 %, 25 %, 9025 MiB, 83
2026/03/23 19:39:50.660, 90 %, 24 %, 1595 MiB, 85
2026/03/23 19:39:55.661, 89 %, 24 %, 9025 MiB, 83
2026/03/23 19:39:55.661, 93 %, 33 %, 1595 MiB, 86
2026/03/23 19:40:00.661, 78 %, 24 %, 9025 MiB, 83
2026/03/23 19:40:00.662, 81 %, 28 %, 1595 MiB, 86
2026/03/23 19:40:05.662, 79 %, 27 %, 9025 MiB, 84
2026/03/23 19:40:05.662, 90 %, 24 %, 1595 MiB, 86
2026/03/23 19:40:10.663, 79 %, 34 %, 9025 MiB, 83
2026/03/23 19:40:10.663, 92 %, 44 %, 1595 MiB, 86
2026/03/23 19:40:15.663, 79 %, 34 %, 9025 MiB, 84
2026/03/23 19:40:15.663, 87 %, 23 %, 1595 MiB, 86
2026/03/23 19:40:20.664, 90 %, 33 %, 9025 MiB, 83
2026/03/23 19:40:20.664, 91 %, 43 %, 1595 MiB, 86
2026/03/23 19:40:25.664, 81 %, 23 %, 9025 MiB, 83
2026/03/23 19:40:25.664, 92 %, 27 %, 1595 MiB, 86
2026/03/23 19:40:30.665, 72 %, 28 %, 9025 MiB, 84
2026/03/23 19:40:30.665, 83 %, 23 %, 1595 MiB, 85
2026/03/23 19:40:35.666, 75 %, 24 %, 9025 MiB, 83
2026/03/23 19:40:35.666, 92 %, 39 %, 1595 MiB, 86
2026/03/23 19:40:40.666, 80 %, 36 %, 9025 MiB, 84
2026/03/23 19:40:40.666, 92 %, 43 %, 1595 MiB, 86
2026/03/23 19:40:45.667, 90 %, 29 %, 9025 MiB, 83
2026/03/23 19:40:45.667, 92 %, 24 %, 1595 MiB, 86
2026/03/23 19:40:50.668, 80 %, 25 %, 9025 MiB, 83
2026/03/23 19:40:50.668, 84 %, 24 %, 1595 MiB, 86
2026/03/23 19:40:55.669, 90 %, 42 %, 9025 MiB, 83
2026/03/23 19:40:55.669, 91 %, 43 %, 1595 MiB, 86
2026/03/23 19:41:00.671, 90 %, 43 %, 9025 MiB, 84
2026/03/23 19:41:00.671, 92 %, 24 %, 1595 MiB, 86
2026/03/23 19:41:05.671, 90 %, 27 %, 9025 MiB, 83
2026/03/23 19:41:05.671, 74 %, 27 %, 1597 MiB, 85
2026/03/23 19:41:10.672, 90 %, 33 %, 9025 MiB, 83
2026/03/23 19:41:10.673, 92 %, 43 %, 1597 MiB, 86
2026/03/23 19:41:15.673, 80 %, 33 %, 9025 MiB, 84
2026/03/23 19:41:15.674, 75 %, 30 %, 1597 MiB, 86
2026/03/23 19:41:20.675, 71 %, 28 %, 9025 MiB, 84
2026/03/23 19:41:20.675, 84 %, 34 %, 1597 MiB, 86
2026/03/23 19:41:25.675, 90 %, 25 %, 9025 MiB, 83
2026/03/23 19:41:25.675, 92 %, 25 %, 1597 MiB, 86
2026/03/23 19:41:30.676, 79 %, 34 %, 9025 MiB, 84
2026/03/23 19:41:30.676, 93 %, 42 %, 1597 MiB, 86
2026/03/23 19:41:35.677, 83 %, 23 %, 9025 MiB, 83
2026/03/23 19:41:35.677, 51 %, 35 %, 1597 MiB, 86
2026/03/23 19:41:40.678, 89 %, 42 %, 9025 MiB, 84
2026/03/23 19:41:40.678, 47 %, 31 %, 1597 MiB, 86
2026/03/23 19:41:45.678, 84 %, 39 %, 9025 MiB, 84
2026/03/23 19:41:45.679, 49 %, 34 %, 1597 MiB, 86
2026/03/23 19:41:50.679, 89 %, 39 %, 9025 MiB, 83
2026/03/23 19:41:50.679, 54 %, 36 %, 1597 MiB, 86
2026/03/23 19:41:55.680, 83 %, 23 %, 9025 MiB, 83
2026/03/23 19:41:55.680, 47 %, 32 %, 1597 MiB, 86
2026/03/23 19:42:00.681, 79 %, 34 %, 9025 MiB, 84
2026/03/23 19:42:00.681, 51 %, 35 %, 1597 MiB, 86
2026/03/23 19:42:05.682, 80 %, 23 %, 9025 MiB, 83
2026/03/23 19:42:05.682, 84 %, 24 %, 1597 MiB, 86
