======================================================================
--- STARTING: 05_NORMALIZE_CLEANED_DUAL_GPU_DATA ---
======================================================================
Found 1 cleaned dual GPU directories. Using 8 cores.


--- Processing Directory: dual_gpu_0000_parquet_to_0019_parquet_cleaned ---
[*] Created shortcut for dual_gpu_0000_parquet_to_0019_parquet_cleaned_normalized in outputs folder.

Pass 1: Finding ACTUAL global max power...

ACTUAL GLOBAL MAX POWER DRAW = 332.510 W

Pass 2: Analyzing GLOBAL power draw distribution...

GLOBAL POWER DRAW SCALE (P99.9) = 267.500 W

Starting parallel processing on 6631 files...
[DEBUG] Skipped 41807241124696-r3879907-n208530_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 41854359514903-r9192091-n976057_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 4192515398686-r9720335-n386398_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 42304189361714-r5573787-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 42944909316946-r8937440-n685852_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 43868880763244-r9040233-n976057_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 44502539005167-r9102715-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 44783823707094-r5573787-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 45354685655527-r8062914-n139058_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 456241584140-r8062914-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 46459269850755-r9535192-n386398_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 47223340020067-r4822976-n208530_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 47474537685013-r3741709-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 48446439563168-r1457839-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 49159400931014-r6760045-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 4920615184682-r4179716-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 5022036939427-r9175025-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 50269821548686-r8579942-n136082_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 50481248617087-r1682297-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 51094307229200-r2652301-n685852_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 51418558495192-r9040233-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 5175172719918-r8642123-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 51921173320444-r4774426-n172998_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 52754577904644-r9175025-n851693_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 53155240152882-r3226521-n851693_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 53357592529763-r5715171-n139058_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 53426836415983-r6272977-n911952_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 54349246395451-r6272977-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
